Body Part,LEar,LEar,LEar,LElbow,LElbow,LElbow,LEye,LEye,LEye,LShoulder,LShoulder,LShoulder,LWrist,LWrist,LWrist,MidHip,MidHip,MidHip,Neck,Neck,Neck,Nose,Nose,Nose,REar,REar,REar,RElbow,RElbow,RElbow,REye,REye,REye,RShoulder,RShoulder,RShoulder,RWrist,RWrist,RWrist
Variable,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c
529,,,,431.326,443.828,0.797,387.429,282.418,0.886,408.102,332.585,0.826,431.287,419.479,0.837,368.682,483.025,0.714,366.678,332.559,0.835,381.110,293.419,0.913,349.445,276.014,0.841,295.016,420.276,0.805,370.187,280.901,0.943,320.015,331.678,0.804,318.432,485.667,0.852
530,,,,431.323,443.733,0.803,387.423,282.419,0.884,408.460,332.582,0.825,431.289,419.294,0.836,368.682,483.025,0.714,366.793,332.556,0.835,381.106,293.420,0.912,349.296,276.082,0.842,295.015,420.293,0.806,370.179,280.901,0.943,320.015,331.434,0.804,318.431,485.752,0.850
531,,,,431.318,443.731,0.809,387.417,282.528,0.882,408.718,332.579,0.825,431.284,419.021,0.832,368.682,483.025,0.714,366.858,332.552,0.836,381.102,293.421,0.912,348.907,276.053,0.843,295.012,420.219,0.806,370.172,280.900,0.943,320.017,331.220,0.804,318.430,485.809,0.849
532,,,,431.315,443.840,0.812,387.410,282.525,0.880,408.964,332.575,0.826,431.279,418.912,0.829,368.682,483.025,0.714,366.849,332.548,0.836,381.099,293.420,0.910,348.663,275.945,0.844,295.007,419.958,0.806,370.166,280.896,0.942,320.018,331.055,0.805,318.430,485.812,0.848
533,,,,431.314,443.830,0.815,387.521,282.433,0.878,409.175,332.568,0.827,431.383,418.875,0.827,368.682,483.025,0.714,366.746,332.542,0.836,381.095,293.419,0.909,348.357,275.781,0.846,295.003,419.758,0.806,370.159,280.894,0.943,320.018,330.960,0.805,318.428,485.737,0.848
534,,,,431.315,443.818,0.817,387.518,282.267,0.878,409.338,332.564,0.827,431.373,418.920,0.824,368.682,483.025,0.714,366.777,332.538,0.836,381.091,293.414,0.907,347.918,275.702,0.847,295.000,419.620,0.806,370.153,280.888,0.943,320.019,330.954,0.805,318.427,485.822,0.848
535,,,,431.317,443.806,0.820,387.420,282.050,0.878,409.433,332.562,0.826,431.267,418.838,0.823,368.682,483.025,0.714,366.831,332.534,0.835,381.086,293.405,0.903,347.618,275.494,0.848,294.997,419.547,0.806,370.146,280.880,0.944,320.020,331.059,0.804,318.428,485.949,0.848
536,,,,431.319,443.796,0.821,387.250,281.800,0.878,409.549,332.561,0.825,431.083,418.731,0.823,368.682,483.025,0.714,366.905,332.642,0.835,381.082,293.397,0.901,347.478,275.196,0.848,294.996,419.652,0.807,370.141,280.873,0.946,320.021,331.053,0.804,318.427,485.870,0.848
537,,,,431.210,443.789,0.824,387.026,281.538,0.879,409.439,332.559,0.824,430.967,418.603,0.825,368.682,483.025,0.714,367.001,332.637,0.835,381.078,293.386,0.897,347.516,274.857,0.849,294.994,419.708,0.807,370.136,280.865,0.946,320.022,331.046,0.803,318.429,486.043,0.848
538,,,,431.214,443.780,0.827,386.770,281.286,0.881,409.350,332.560,0.823,430.591,418.588,0.824,368.682,483.025,0.714,367.231,332.545,0.836,381.072,293.377,0.894,347.504,274.518,0.849,294.994,419.731,0.807,370.130,280.857,0.947,320.024,331.041,0.803,318.429,486.117,0.848
539,395.216,280.856,0.060,431.417,443.777,0.831,386.506,281.068,0.883,409.187,332.561,0.823,430.458,418.582,0.823,368.682,483.025,0.714,367.003,332.384,0.836,381.070,293.369,0.891,347.558,273.851,0.849,294.994,419.741,0.806,370.127,280.851,0.947,320.024,331.038,0.804,318.428,486.002,0.847
540,395.210,280.870,0.063,431.583,443.780,0.831,386.250,280.903,0.885,408.857,332.559,0.824,430.243,418.681,0.821,368.682,483.025,0.714,366.907,332.171,0.835,381.066,293.363,0.888,347.675,273.485,0.848,294.994,419.761,0.805,370.125,280.848,0.947,320.023,331.035,0.804,318.426,485.948,0.846
541,395.204,280.882,0.067,431.704,443.790,0.828,386.026,280.808,0.887,408.610,332.559,0.825,429.768,418.855,0.817,368.682,483.025,0.714,366.833,331.930,0.835,381.063,293.358,0.886,347.854,273.325,0.848,294.995,419.450,0.803,370.122,280.846,0.948,320.024,331.032,0.805,318.422,485.705,0.846
542,395.200,280.891,0.070,431.784,443.795,0.820,385.856,280.803,0.888,408.557,332.669,0.824,429.119,419.086,0.815,368.682,483.025,0.714,366.894,331.679,0.835,381.062,293.353,0.884,348.095,273.507,0.848,294.994,419.398,0.802,370.122,280.842,0.947,320.023,331.033,0.805,318.421,485.616,0.846
543,395.197,280.898,0.072,431.823,443.802,0.811,385.762,280.910,0.889,408.472,332.552,0.825,428.262,419.348,0.811,368.682,483.025,0.714,366.861,331.434,0.835,381.174,293.350,0.883,348.147,273.559,0.848,294.992,419.237,0.802,370.123,280.839,0.946,320.024,331.033,0.805,318.417,485.454,0.845
544,395.195,280.902,0.075,431.822,443.794,0.794,385.760,280.911,0.891,408.374,332.454,0.826,427.403,419.624,0.808,368.682,483.025,0.714,366.640,331.220,0.835,381.064,293.352,0.883,348.358,273.505,0.848,294.990,419.070,0.801,370.125,280.840,0.945,320.022,331.035,0.806,318.416,485.573,0.844
545,395.193,280.904,0.076,431.778,443.786,0.780,385.874,280.914,0.892,408.174,332.377,0.827,426.960,419.898,0.807,368.682,483.025,0.714,366.480,331.056,0.834,380.972,293.354,0.883,348.362,273.717,0.848,294.986,419.127,0.800,370.126,280.842,0.945,320.021,331.036,0.805,318.418,485.717,0.844
546,395.193,280.906,0.078,431.695,443.775,0.768,385.873,280.915,0.893,408.122,332.324,0.827,426.489,420.129,0.802,368.682,483.025,0.714,366.384,330.854,0.834,380.900,293.355,0.883,348.254,273.963,0.847,294.982,419.286,0.800,370.124,280.844,0.945,320.019,331.036,0.805,318.421,485.878,0.845
547,395.194,280.904,0.079,431.573,443.771,0.758,385.758,280.915,0.894,408.215,332.293,0.826,426.028,420.426,0.801,368.682,483.025,0.714,366.353,330.853,0.834,380.848,293.356,0.883,348.260,274.007,0.846,294.979,419.552,0.800,370.123,280.846,0.945,320.018,331.036,0.804,318.425,486.063,0.846
548,395.197,280.899,0.079,431.410,443.773,0.757,385.760,280.911,0.893,408.453,332.284,0.826,425.859,420.526,0.799,368.682,483.025,0.714,366.384,331.054,0.834,380.818,293.355,0.884,348.267,273.961,0.846,294.979,419.924,0.801,370.123,280.846,0.945,320.016,331.037,0.803,318.430,486.269,0.847
549,395.199,280.887,0.079,431.208,443.781,0.764,385.972,280.905,0.891,408.585,332.296,0.826,425.894,420.542,0.799,368.682,483.025,0.714,366.479,331.216,0.835,380.810,293.354,0.884,348.273,273.830,0.845,294.979,420.152,0.800,370.123,280.844,0.943,320.016,331.037,0.803,318.433,486.489,0.848
550,395.201,280.876,0.079,431.206,443.907,0.779,386.027,280.900,0.889,408.713,332.338,0.823,426.127,420.372,0.801,368.682,483.025,0.714,366.639,331.435,0.835,380.821,293.354,0.885,348.276,273.613,0.845,294.982,420.326,0.800,370.124,280.842,0.942,320.016,331.038,0.803,318.433,486.475,0.848
551,395.203,280.867,0.079,431.318,443.916,0.795,386.271,280.898,0.887,408.809,332.396,0.821,426.793,420.045,0.800,368.682,483.025,0.714,366.611,331.681,0.836,380.855,293.354,0.886,348.279,273.314,0.845,294.987,420.537,0.800,370.127,280.840,0.941,320.016,331.039,0.804,318.435,486.328,0.849
552,395.205,280.859,0.080,431.208,443.827,0.808,386.335,280.898,0.886,408.856,332.473,0.818,427.496,419.872,0.795,368.682,483.025,0.714,366.740,331.938,0.836,380.908,293.356,0.888,348.284,273.185,0.844,294.994,420.425,0.801,370.130,280.842,0.940,320.017,331.041,0.803,318.434,486.271,0.848
553,395.206,280.855,0.080,431.209,443.773,0.818,386.453,280.900,0.885,409.079,332.572,0.816,428.250,419.310,0.789,368.682,483.025,0.714,366.912,332.184,0.837,380.981,293.358,0.889,348.286,273.131,0.844,295.002,420.215,0.801,370.132,280.844,0.940,320.017,331.042,0.803,318.433,486.190,0.849
554,395.206,280.852,0.080,431.415,443.545,0.825,386.603,280.905,0.883,409.365,332.692,0.812,428.752,418.261,0.786,368.682,483.025,0.714,367.128,332.512,0.839,381.075,293.364,0.891,348.284,273.056,0.844,295.007,420.135,0.801,370.134,280.846,0.940,320.019,331.046,0.803,318.431,486.088,0.849
555,395.207,280.851,0.080,431.579,443.298,0.830,386.763,280.914,0.883,409.464,332.693,0.811,429.284,416.991,0.784,368.682,483.025,0.714,367.133,332.675,0.841,381.188,293.372,0.893,348.277,273.079,0.845,295.012,420.074,0.802,370.136,280.851,0.940,320.021,331.050,0.803,318.426,485.967,0.848
556,395.207,280.851,0.080,431.703,442.720,0.825,386.908,280.927,0.883,409.467,332.579,0.812,429.668,415.421,0.778,368.682,483.025,0.714,367.022,332.674,0.841,381.076,293.383,0.896,348.272,273.061,0.847,295.014,420.039,0.801,370.136,280.859,0.942,320.022,331.052,0.804,318.427,486.085,0.847
557,395.206,280.853,0.080,431.785,442.122,0.820,387.022,280.938,0.883,409.358,332.480,0.812,430.232,413.724,0.773,368.682,483.025,0.714,367.023,332.398,0.842,381.076,293.391,0.897,348.379,273.140,0.848,295.012,420.028,0.802,370.137,280.864,0.943,320.023,331.051,0.803,318.426,486.086,0.846
558,395.205,280.856,0.080,431.827,441.546,0.813,387.201,280.948,0.884,409.358,332.400,0.814,430.551,412.062,0.770,368.682,483.025,0.714,367.020,332.070,0.843,381.074,293.397,0.898,348.373,273.079,0.848,295.009,420.038,0.802,370.134,280.868,0.944,320.022,331.049,0.804,318.425,486.083,0.846
559,,,,431.824,441.159,0.804,387.189,280.954,0.885,409.356,332.341,0.816,430.692,410.505,0.769,368.682,483.025,0.714,367.017,331.914,0.843,381.071,293.400,0.898,348.273,273.209,0.849,295.006,420.072,0.802,370.132,280.871,0.946,320.021,331.050,0.804,318.425,486.084,0.847
560,,,,431.779,440.768,0.799,387.241,280.953,0.885,409.352,332.304,0.819,430.955,409.199,0.767,368.682,483.025,0.714,367.014,331.819,0.843,381.072,293.399,0.898,348.099,273.487,0.851,295.003,420.129,0.802,370.131,280.868,0.945,320.020,331.049,0.804,318.425,486.082,0.847
561,,,,431.695,440.320,0.796,387.264,280.948,0.884,409.350,332.294,0.820,430.957,408.505,0.766,368.682,483.025,0.714,367.011,331.898,0.842,381.074,293.396,0.899,347.873,273.873,0.851,295.001,420.209,0.802,370.131,280.863,0.945,320.018,331.047,0.805,318.424,486.079,0.848
562,,,,431.567,440.223,0.796,387.021,280.941,0.885,409.349,332.307,0.820,430.923,408.071,0.766,368.682,483.025,0.714,367.009,331.819,0.841,381.075,293.389,0.898,347.616,274.325,0.853,294.998,420.308,0.803,370.131,280.857,0.946,320.017,331.047,0.806,318.423,486.076,0.847
563,,,,431.402,439.912,0.793,386.883,280.932,0.886,409.346,332.335,0.821,430.748,407.877,0.760,368.682,483.025,0.714,367.004,331.927,0.840,381.078,293.382,0.898,347.351,274.798,0.854,294.998,420.424,0.804,370.131,280.851,0.946,320.014,331.045,0.806,318.425,486.079,0.847
564,,,,431.196,439.898,0.792,386.503,280.927,0.887,409.344,332.387,0.821,430.676,408.152,0.753,368.682,483.025,0.714,367.002,332.007,0.839,381.080,293.375,0.898,347.102,275.256,0.854,294.999,420.309,0.804,370.131,280.847,0.947,320.011,331.045,0.807,318.427,486.080,0.847
565,,,,431.198,439.969,0.794,386.249,280.921,0.888,409.344,332.461,0.822,430.610,408.218,0.747,368.682,483.025,0.714,367.000,332.079,0.839,381.080,293.368,0.897,346.882,275.766,0.855,294.997,420.308,0.804,370.131,280.843,0.947,320.119,331.046,0.809,318.430,486.082,0.848
